City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,araouane,-3.5265,18.9048,302.19,11,0,3.32,ML,2023-04-24
262,kang,22.7876,-23.6752,291.06,67,77,3.43,BW,2023-04-24
263,romitan,64.3814,39.9343,293.12,26,0,5.14,UZ,2023-04-24
264,lagunas,-75.6753,-5.2269,298.72,94,82,1.26,PE,2023-04-24
265,ponta delgada,-25.6667,37.7333,290.55,100,75,4.12,PT,2023-04-24
266,tiksi,128.8694,71.6872,267.26,96,100,6.04,RU,2023-04-24
267,mildura,142.15,-34.2,290.83,50,1,3.34,AU,2023-04-24
268,sembe,14.5806,1.6481,296.64,82,14,0.83,CG,2023-04-24
269,ust-tsilma,52.1498,65.441,272.2,97,100,3.21,RU,2023-04-24
270,imbituba,-48.6703,-28.24,293.77,88,12,3.8,BR,2023-04-24
271,kalmunai,81.8167,7.4167,299.61,86,64,2.38,LK,2023-04-24
272,airai,125.4092,-8.9266,288.65,93,41,1.59,TL,2023-04-24
273,tall kayf,41.0667,37.0833,286.86,81,1,1.14,TR,2023-04-24
274,asmar,71.3581,35.0333,291.61,50,63,2.5,AF,2023-04-24
275,faanui,-151.75,-16.4833,300.4,79,34,4.32,PF,2023-04-24
276,bafra,35.9069,41.5678,281.75,87,9,2.63,TR,2023-04-24
277,westerly,-71.8273,41.3776,289.16,57,0,5.14,US,2023-04-24
278,katima mulilo,24.2667,-17.5,297.31,40,69,2.89,NA,2023-04-24
279,saldanha,17.9442,-33.0117,287.18,86,43,2.4,ZA,2023-04-24
280,tucumcari,-103.725,35.1717,289.06,44,0,6.69,US,2023-04-24
281,palmer,-72.3287,42.1584,287.73,48,75,2.57,US,2023-04-24
282,lavrentiya,-171.0,65.5833,265.58,75,5,3.69,RU,2023-04-24
283,muroto,134.15,33.2833,284.72,83,100,7.28,JP,2023-04-24
284,sambava,50.1667,-14.2667,297.83,92,100,1.98,MG,2023-04-24
285,trindade,-49.4889,-16.6494,299.01,77,77,2.21,BR,2023-04-24
286,mingaora,72.3625,34.7758,289.66,50,13,3.15,PK,2023-04-24
287,sinnamary,-52.95,5.3833,297.55,91,100,4.15,GF,2023-04-24
288,sao felix do xingu,-51.995,-6.6447,297.1,84,100,1.1,BR,2023-04-24
289,kiunga,141.2906,-6.1219,296.55,93,91,0.46,PG,2023-04-24
290,sao joao da barra,-41.0511,-21.6403,296.2,88,74,1.9,BR,2023-04-24
291,shambu,37.1,9.5667,289.02,50,83,1.82,ET,2023-04-24
292,jaisalmer,70.9181,26.9147,301.02,17,95,4.33,IN,2023-04-24
293,husavik,-17.3389,66.0449,271.47,62,81,2.77,IS,2023-04-24
294,leua,18.6071,48.2156,286.2,90,100,2.43,SK,2023-04-24
295,shimoda,138.95,34.6667,284.87,67,28,4.01,JP,2023-04-24
296,abong mbang,13.1833,3.9833,294.81,96,99,0.72,CM,2023-04-24
297,awbari,12.7805,26.5921,296.56,28,14,3.11,LY,2023-04-24
298,fochville,27.4939,-26.4886,290.33,27,98,2.25,ZA,2023-04-24
299,sumkino,68.3244,58.1108,275.03,70,99,2.34,RU,2023-04-24
300,chapais,-74.8492,49.7834,278.03,99,100,2.66,CA,2023-04-24
301,shestakovo,103.96,56.4915,267.95,94,72,1.67,RU,2023-04-24
302,muros,-9.0603,42.7762,289.08,89,100,2.77,ES,2023-04-24
303,wad madani,33.5199,14.4012,307.39,27,74,5.01,SD,2023-04-24
304,sheltozero,35.3667,61.3667,280.69,88,94,1.24,RU,2023-04-24
305,nhulunbuy,136.7667,-12.2333,297.49,94,75,4.63,AU,2023-04-24
306,warrenton,24.8475,-28.114,291.58,42,100,5.13,ZA,2023-04-24
307,whitehorse,-135.0538,60.7161,279.58,65,75,5.66,CA,2023-04-24
308,pochutla,-96.4661,15.7432,305.83,52,51,3.68,MX,2023-04-24
309,piranhas,-51.8222,-16.4269,297.41,71,17,1.15,BR,2023-04-24
310,marsh harbour,-77.0636,26.5412,297.48,73,79,5.15,BS,2023-04-24
311,victoria,114.1577,22.2855,297.18,93,95,5.81,HK,2023-04-24
312,abu samrah,37.1841,35.3029,286.38,65,2,2.69,SY,2023-04-24
313,anadyr,177.4833,64.75,266.43,63,0,1.0,RU,2023-04-24
314,chalus,51.4204,36.655,287.85,94,75,0.0,IR,2023-04-24
315,manzil salim,8.4765,35.8567,289.63,55,85,1.09,TN,2023-04-24
316,grootfontein,18.1167,-19.5667,291.91,68,68,1.03,NA,2023-04-24
317,codrington,141.9667,-38.2667,288.18,76,32,4.41,AU,2023-04-24
318,choya,86.5467,52.0108,280.2,97,89,5.32,RU,2023-04-24
319,puerto leguizamo,-74.7819,-0.1934,300.07,76,100,1.17,CO,2023-04-24
320,oudtshoorn,22.2014,-33.5907,289.35,91,85,1.92,ZA,2023-04-24
321,iskateley,53.1512,67.6803,264.45,96,100,1.65,RU,2023-04-24
322,manaus,-60.025,-3.1019,303.43,70,40,2.57,BR,2023-04-24
323,salinopolis,-47.3561,-0.6136,298.64,87,100,5.13,BR,2023-04-24
324,mattru,-11.8332,7.6244,300.19,83,73,1.9,SL,2023-04-24
325,sechura,-80.8222,-5.5569,301.23,64,100,4.31,PE,2023-04-24
326,mwandiga,29.6581,-4.83,295.81,94,75,0.0,TZ,2023-04-24
327,saint-joseph,55.6167,-21.3667,298.36,76,23,2.26,RE,2023-04-24
328,cabanas,-82.9219,22.9758,303.18,54,72,3.16,CU,2023-04-24
329,gijon,-5.6615,43.5357,289.96,90,100,1.34,ES,2023-04-24
330,pokhara,83.9833,28.2333,289.81,49,69,2.73,NP,2023-04-24
331,borovoy,86.0833,55.4333,274.75,75,40,8.0,RU,2023-04-24
